Artist,Album,Bought For (Roughly),Median Discogs Price,Coloured Record,Limited,Repress,RYM Score,TND Score,last.fm Scrobbles,Genre,Version First-Hand,Album First-Hand,AOTY Critic,AOTY User,Personal Top 50
Burial,Untrue,20,12.8,N,N,Y,3.87,N/A,"18,900,000",Electronic,Y,Y,94,88,Y
Four Tet,Pink,25,12.3,N,N,Y,3.48,7,"1,600,000",Electronic,Y,Y,72,77,N
The Beatles,Revolver,15,12,N,N,Y,4.26,N/A,"25,300,000",Rock,Y,Y,100,91,N
The Beatles,Sgt. Peppers Lonely Hearts Club Band,15,12,N,N,Y,4.15,N/A,"24,600,000",Rock,Y,Y,98,90,N
Bibio,Phantom Brickworks,20,12,N,N,N,3.5,N/A,"189,600",Electronic,Y,Y,79,76,Y
Black Midi,Schlagenheim,17,12,N,N,N,3.67,8,"672,900",Rock,Y,Y,81,82,N
MF DOOM,Operation Doomsday,20,12,N,N,Y,3.79,N/A,"3,600,000",Hip Hop,Y,Y,86,86,N
Belle And Sebastian,If You're Feeling Sinister,20,10,N,N,Y,3.98,N/A,"10,100,000",Hip Hop,Y,Y,90,89,Y
Once & Future Band,Brain,20,10,N,N,N,3.46,N/A,"6,754",Rock,N,Y,N/A,N/A,N
Hookworms,Microshift,20,9,N,N,N,3.17,N/A,"262,700",Indie,Y,Y,85,74,N
Blackalicious,Imani Vol. 1,20,6.81,N,N,N,3.39,N/A,"68,500",Hip Hop,Y,Y,72,71,N
Blessed Feathers,There Will Be No Sad Tomorrow,30,3.28,Y,Y,N,2.9,N/A,"16,300",Hip Hop,Y,Y,N/A,64,N
